Wed May 14 21:53:37 CEST 2014  


Wed May 14 21:53:37 CEST 2014  Container start
Wed May 14 21:53:38 CEST 2014  Creating StateMachine: Game
Wed May 14 21:53:38 CEST 2014  Game SetCurrentState: GameStateRunning
Wed May 14 21:53:38 CEST 2014  Creating StateMachine: Player
Wed May 14 21:53:38 CEST 2014  Player SetCurrentState: NormalPlayerState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
Wed May 14 21:54:42 CEST 2014  Zombie SetGlobalState: ZombieGlobalState
Wed May 14 21:54:42 CEST 2014  Creating StateMachine: Zombie
Wed May 14 21:54:42 CEST 2014  Zombie SetCurrentState: AgressivZombieState
